dataset,result_file,method,model,variant,top_m,toc,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,node,5.0,Present,90,0.23333333333333334,0.45555555555555555,0.3135185185185185,0.8111111111111111,0.00011111111111111112,0.00011111111111111112,0.00011111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,23.333333333333332,45.55555555555556,31.351851851851848,81.11111111111111
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,node,7.0,No TOC,21,0.09523809523809523,0.38095238095238093,0.17936507936507937,0.7619047619047619,0.00014285714285714287,0.00014285714285714287,0.00014285714285714287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,9.523809523809524,38.095238095238095,17.936507936507937,76.19047619047619
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,node,7.0,Present,90,0.23333333333333334,0.45555555555555555,0.3135185185185185,0.8111111111111111,0.00010000000000000002,0.00010000000000000002,0.00010000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,23.333333333333332,45.55555555555556,31.351851851851848,81.11111111111111
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,No TOC,21,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.7619047619047619,4.761904761904762e-05,4.761904761904762e-05,4.761904761904762e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,14.285714285714285,42.857142857142854,28.57142857142857,76.19047619047619
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,Present,90,0.18888888888888888,0.4666666666666667,0.29518518518518516,0.8333333333333334,0.00036666666666666667,0.00036666666666666667,0.00036666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,18.88888888888889,46.666666666666664,29.518518518518515,83.33333333333334
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,5.0,No TOC,21,0.14285714285714285,0.47619047619047616,0.29523809523809524,0.7619047619047619,4.761904761904762e-05,4.761904761904762e-05,4.761904761904762e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,14.285714285714285,47.61904761904761,29.523809523809526,76.19047619047619
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,5.0,Present,90,0.17777777777777778,0.4444444444444444,0.2785185185185185,0.8333333333333334,0.00020000000000000004,0.00020000000000000004,0.00020000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,17.77777777777778,44.44444444444444,27.85185185185185,83.33333333333334
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,7.0,No TOC,21,0.14285714285714285,0.42857142857142855,0.2857142857142857,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,14.285714285714285,42.857142857142854,28.57142857142857,76.19047619047619
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,7.0,Present,90,0.18888888888888888,0.4666666666666667,0.29518518518518516,0.8333333333333334,0.00028888888888888893,0.00028888888888888893,0.00028888888888888893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,18.88888888888889,46.666666666666664,29.518518518518515,83.33333333333334
FinanceBench,pageindex_combined_query_results_clean.jsonl,PageIndex,GPT-5,standard,,No TOC,21,0.47619047619047616,0.6666666666666666,0.6428571428571429,0.6666666666666666,149.5749523809524,75.41804761904761,149.57490476190475,98228.80952380953,9080.142857142857,107308.95238095238,49690.90476190476,3887.7619047619046,53578.666666666664,98228.80952380953,9080.142857142857,107308.95238095238,21,47.61904761904761,66.66666666666666,64.28571428571429,66.66666666666666
FinanceBench,pageindex_combined_query_results_clean.jsonl,PageIndex,GPT-5,standard,,Present,90,0.6222222222222222,0.8444444444444444,0.742037037037037,0.9777777777777777,159.71602222222222,50.306400000000004,159.716,174412.94444444444,9769.333333333334,184182.27777777778,66037.8111111111,2893.7444444444445,68931.55555555556,174412.94444444444,9769.333333333334,184182.27777777778,90,62.22222222222222,84.44444444444444,74.20370370370371,97.77777777777777
