dataset,result_file,method,model,variant,top_m,question_type,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,5.0,novel-generated,43,0.2558139534883721,0.5581395348837209,0.3767441860465116,0.7906976744186046,0.00011627906976744187,0.00011627906976744187,0.00011627906976744187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,25.581395348837212,55.81395348837209,37.67441860465116,79.06976744186046
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,domain-relevant,41,0.24390243902439024,0.4878048780487805,0.3361788617886179,0.8292682926829268,4.878048780487805e-05,4.878048780487805e-05,4.878048780487805e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,24.390243902439025,48.78048780487805,33.61788617886179,82.92682926829268
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,metrics-generated,27,0.14814814814814814,0.4074074074074074,0.24382716049382716,0.7777777777777778,0.00022222222222222223,0.00022222222222222223,0.00022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,14.814814814814813,40.74074074074074,24.382716049382715,77.77777777777779
FinanceBench,hybrid_pageindex_chunk_rerank_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,chunk_rerank,7.0,novel-generated,43,0.2558139534883721,0.5581395348837209,0.3682170542635659,0.7906976744186046,0.0001627906976744186,0.0001627906976744186,0.0001627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,25.581395348837212,55.81395348837209,36.82170542635659,79.06976744186046
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,domain-relevant,41,0.1951219512195122,0.36585365853658536,0.2483739837398374,0.7560975609756098,0.0003414634146341464,0.0003414634146341464,0.0003414634146341464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,19.51219512195122,36.58536585365854,24.837398373983742,75.60975609756098
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,metrics-generated,27,0.3333333333333333,0.5925925925925926,0.42407407407407405,0.9259259259259259,0.0007407407407407407,0.0007407407407407407,0.0007407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,33.33333333333333,59.25925925925925,42.407407407407405,92.5925925925926
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,10.0,novel-generated,43,0.13953488372093023,0.5348837209302325,0.28178294573643414,0.813953488372093,0.0003488372093023256,0.0003488372093023256,0.0003488372093023256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,13.953488372093023,53.48837209302325,28.178294573643413,81.3953488372093
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,domain-relevant,41,0.21951219512195122,0.3902439024390244,0.27723577235772356,0.7560975609756098,0.00024390243902439024,0.00024390243902439024,0.00024390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,21.951219512195124,39.02439024390244,27.723577235772357,75.60975609756098
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,metrics-generated,27,0.2222222222222222,0.48148148148148145,0.31296296296296294,0.9259259259259259,0.0003333333333333334,0.0003333333333333334,0.0003333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,22.22222222222222,48.148148148148145,31.296296296296294,92.5925925925926
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,novel-generated,43,0.16279069767441862,0.5581395348837209,0.3085271317829457,0.813953488372093,0.000186046511627907,0.000186046511627907,0.000186046511627907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,16.27906976744186,55.81395348837209,30.85271317829457,81.3953488372093
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,7.0,domain-relevant,41,0.21951219512195122,0.3902439024390244,0.26666666666666666,0.7560975609756098,0.0003902439024390244,0.0003902439024390244,0.0003902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,21.951219512195124,39.02439024390244,26.666666666666668,75.60975609756098
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,7.0,metrics-generated,27,0.3333333333333333,0.6296296296296297,0.4222222222222222,0.9259259259259259,0.0007037037037037037,0.0007037037037037037,0.0007037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,33.33333333333333,62.96296296296296,42.22222222222222,92.5925925925926
FinanceBench,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,7.0,novel-generated,43,0.13953488372093023,0.5348837209302325,0.2934108527131783,0.813953488372093,0.00030232558139534885,0.00030232558139534885,0.00030232558139534885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,13.953488372093023,53.48837209302325,29.34108527131783,81.3953488372093
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,node,10.0,domain-relevant,41,0.24390243902439024,0.5121951219512195,0.3357723577235773,0.8292682926829268,7.317073170731707e-05,7.317073170731707e-05,7.317073170731707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,24.390243902439025,51.21951219512195,33.577235772357724,82.92682926829268
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,node,10.0,metrics-generated,27,0.2962962962962963,0.37037037037037035,0.32407407407407407,0.7777777777777778,0.00025925925925925926,0.00025925925925925926,0.00025925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,29.629629629629626,37.03703703703704,32.407407407407405,77.77777777777779
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,node,10.0,novel-generated,43,0.16279069767441862,0.46511627906976744,0.26666666666666666,0.7906976744186046,6.976744186046511e-05,6.976744186046511e-05,6.976744186046511e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,16.27906976744186,46.51162790697674,26.666666666666668,79.06976744186046
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,node,5.0,domain-relevant,41,0.21951219512195122,0.4878048780487805,0.3113821138211382,0.8292682926829268,0.0001951219512195122,0.0001951219512195122,0.0001951219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,21.951219512195124,48.78048780487805,31.138211382113816,82.92682926829268
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,node,5.0,metrics-generated,27,0.25925925925925924,0.3333333333333333,0.28703703703703703,0.7777777777777778,3.7037037037037037e-05,3.7037037037037037e-05,3.7037037037037037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,25.925925925925924,33.33333333333333,28.703703703703702,77.77777777777779
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,node,5.0,novel-generated,43,0.16279069767441862,0.4883720930232558,0.2713178294573643,0.7906976744186046,4.651162790697675e-05,4.651162790697675e-05,4.651162790697675e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,16.27906976744186,48.837209302325576,27.131782945736433,79.06976744186046
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,node,7.0,domain-relevant,41,0.21951219512195122,0.4878048780487805,0.3113821138211382,0.8292682926829268,9.75609756097561e-05,9.75609756097561e-05,9.75609756097561e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,21.951219512195124,48.78048780487805,31.138211382113816,82.92682926829268
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,node,7.0,metrics-generated,27,0.25925925925925924,0.3333333333333333,0.28703703703703703,0.7777777777777778,7.407407407407407e-05,7.407407407407407e-05,7.407407407407407e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,25.925925925925924,33.33333333333333,28.703703703703702,77.77777777777779
FinanceBench,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,node,7.0,novel-generated,43,0.16279069767441862,0.46511627906976744,0.26666666666666666,0.7906976744186046,0.00013953488372093022,0.00013953488372093022,0.00013953488372093022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,16.27906976744186,46.51162790697674,26.666666666666668,79.06976744186046
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,domain-relevant,41,0.0975609756097561,0.3902439024390244,0.19065040650406503,0.7560975609756098,0.00024390243902439024,0.00024390243902439024,0.00024390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,9.75609756097561,39.02439024390244,19.0650406504065,75.60975609756098
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,metrics-generated,27,0.2962962962962963,0.5555555555555556,0.4197530864197531,0.9259259259259259,0.00048148148148148155,0.00048148148148148155,0.00048148148148148155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,29.629629629629626,55.55555555555556,41.97530864197531,92.5925925925926
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,novel-generated,43,0.18604651162790697,0.46511627906976744,0.312015503875969,0.813953488372093,0.0002558139534883721,0.0002558139534883721,0.0002558139534883721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,18.6046511627907,46.51162790697674,31.2015503875969,81.3953488372093
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,5.0,domain-relevant,41,0.0975609756097561,0.3902439024390244,0.19065040650406503,0.7560975609756098,0.00021951219512195125,0.00021951219512195125,0.00021951219512195125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,9.75609756097561,39.02439024390244,19.0650406504065,75.60975609756098
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,5.0,metrics-generated,27,0.25925925925925924,0.48148148148148145,0.36419753086419754,0.9259259259259259,0.00022222222222222223,0.00022222222222222223,0.00022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,25.925925925925924,48.148148148148145,36.41975308641975,92.5925925925926
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,5.0,novel-generated,43,0.18604651162790697,0.4883720930232558,0.31666666666666665,0.813953488372093,9.30232558139535e-05,9.30232558139535e-05,9.30232558139535e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,18.6046511627907,48.837209302325576,31.666666666666664,81.3953488372093
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,7.0,domain-relevant,41,0.0975609756097561,0.3902439024390244,0.19065040650406503,0.7560975609756098,0.00024390243902439024,0.00024390243902439024,0.00024390243902439024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,9.75609756097561,39.02439024390244,19.0650406504065,75.60975609756098
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,7.0,metrics-generated,27,0.2962962962962963,0.5555555555555556,0.4197530864197531,0.9259259259259259,0.00037037037037037035,0.00037037037037037035,0.00037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,29.629629629629626,55.55555555555556,41.97530864197531,92.5925925925926
FinanceBench,hybrid_pageindex_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,7.0,novel-generated,43,0.18604651162790697,0.46511627906976744,0.312015503875969,0.813953488372093,0.00013953488372093022,0.00013953488372093022,0.00013953488372093022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43,18.6046511627907,46.51162790697674,31.2015503875969,81.3953488372093
FinanceBench,pageindex_combined_query_results_clean.jsonl,PageIndex,GPT-5,standard,,domain-relevant,41,0.6097560975609756,0.8780487804878049,0.7426829268292683,1.0,146.66248780487805,54.81458536585366,146.66243902439024,177814.1463414634,8971.951219512195,186786.0975609756,75800.60975609756,3418.1463414634145,79218.75609756098,177814.1463414634,8971.951219512195,186786.0975609756,41,60.97560975609756,87.8048780487805,74.26829268292683,100.0
FinanceBench,pageindex_combined_query_results_clean.jsonl,PageIndex,GPT-5,standard,,metrics-generated,27,0.5925925925925926,0.7777777777777778,0.7407407407407407,0.9629629629629629,185.38381481481483,71.52322222222222,185.38381481481483,169709.22222222222,11221.074074074075,180930.2962962963,69360.81481481482,3823.5185185185187,73184.33333333333,169709.22222222222,11221.074074074075,180930.2962962963,27,59.25925925925925,77.77777777777779,74.07407407407408,96.29629629629629
FinanceBench,pageindex_combined_query_results_clean.jsonl,PageIndex,GPT-5,standard,,novel-generated,43,0.5813953488372093,0.7674418604651163,0.6937984496124031,0.813953488372093,151.09281395348836,44.94953488372093,151.09279069767442,136917.23255813954,9281.488372093023,146198.72093023255,46659.186046511626,2295.3720930232557,48954.558139534885,136917.23255813954,9281.488372093023,146198.72093023255,43,58.139534883720934,76.74418604651163,69.37984496124031,81.3953488372093
