run_timestamp,dataset,pdf_name,pdf_path,output_path,log_path,status,num_pages,raw_pdf_tokens,toc_present,toc_page_index_given,structure_input_tokens,structure_output_tokens,structure_total_tokens,structure_llm_successful_calls,structure_llm_failed_calls,structure_latency_seconds,error,doc_name,num_chunks,total_chunk_tokens,chunk_input_tokens,chunk_output_tokens,chunk_total_tokens,chunk_llm_successful_calls,chunk_llm_failed_calls,chunk_latency_seconds,combined_input_tokens,combined_output_tokens,combined_total_tokens,combined_llm_successful_calls,combined_llm_failed_calls,combined_latency_seconds,structure_total_tokens_per_page,structure_latency_seconds_per_page,structure_llm_calls_per_page,chunk_total_tokens_per_page,chunk_latency_seconds_per_page,chunk_total_tokens_per_chunk,chunk_latency_seconds_per_chunk,combined_total_tokens_per_page,combined_latency_seconds_per_page,combined_total_tokens_per_chunk,combined_latency_seconds_per_chunk
2026-07-23 09:28:50,FinanceBench,AMCOR_2023_10K,data/FinanceBench/AMCOR_2023_10K.pdf,final results\FinanceBench structure\AMCOR_2023_10K_structure.json,data\FinanceBench\logs\AMCOR_2023_10K_20260723_092850.json,success,156,104146,yes,yes,324178,138637,462815,174,0,665.964,,AMCOR_2023_10K,35.0,106546.0,0.0,0.0,0.0,0.0,0.0,14.953,324178.0,138637.0,462815.0,174.0,0.0,680.917,2966.7628,4.269,1.1154,0.0,0.0959,0.0,0.4272285714285714,2966.7628,4.3649,13223.285714285714,19.45477142857143
2026-07-23 09:41:26,FinanceBench,AMCOR_2023Q2_10Q,data/FinanceBench/AMCOR_2023Q2_10Q.pdf,final results\FinanceBench structure\AMCOR_2023Q2_10Q_structure.json,data\FinanceBench\logs\AMCOR_2023Q2_10Q_20260723_094126.json,success,57,28908,yes,yes,179315,112657,291972,150,0,614.423,,AMCOR_2023Q2_10Q,29.0,29331.0,0.0,0.0,0.0,0.0,0.0,5.398,179315.0,112657.0,291972.0,150.0,0.0,619.821,5122.3158,10.7794,2.6316,0.0,0.0947,0.0,0.18613793103448276,5122.3158,10.8741,10068.0,21.373137931034485
2026-07-23 09:53:02,FinanceBench,AMCOR_2023Q4_EARNINGS,data/FinanceBench/AMCOR_2023Q4_EARNINGS.pdf,final results\FinanceBench structure\AMCOR_2023Q4_EARNINGS_structure.json,data\FinanceBench\logs\AMCOR_2023Q4_EARNINGS_20260723_095302.json,success,14,11428,no,no,104181,58690,162871,76,0,207.226,,AMCOR_2023Q4_EARNINGS,20.0,11373.0,0.0,0.0,0.0,0.0,0.0,2.113,104181.0,58690.0,162871.0,76.0,0.0,209.339,11633.6429,14.8019,5.4286,0.0,0.1509,0.0,0.10565,11633.6429,14.9528,8143.55,10.46695
2026-07-23 09:57:51,FinanceBench,AMD_2022_10K,data/FinanceBench/AMD_2022_10K.pdf,final results\FinanceBench structure\AMD_2022_10K_structure.json,data\FinanceBench\logs\AMD_2022_10K_20260723_095751.json,success,121,85678,yes,yes,263001,109136,372137,148,0,477.055,,AMD_2022_10K,29.0,88400.0,0.0,0.0,0.0,0.0,0.0,12.306,263001.0,109136.0,372137.0,148.0,0.0,489.361,3075.5124,3.9426,1.2231,0.0,0.1017,0.0,0.42434482758620684,3075.5124,4.0443,12832.310344827587,16.87451724137931
2026-07-23 15:56:20,FinanceBench,AMERICANEXPRESS_2022_10K,data/FinanceBench/AMERICANEXPRESS_2022_10K.pdf,final results\FinanceBench structure\AMERICANEXPRESS_2022_10K_structure.json,data\FinanceBench\logs\AMERICANEXPRESS_2022_10K_20260723_155620.json,success,260,177259,yes,yes,1035030,521082,1556112,698,0,1659.289,,AMERICANEXPRESS_2022_10K,185.0,179265.0,22211.0,10442.0,32653.0,8.0,0.0,140.09,1057241.0,531524.0,1588765.0,706.0,0.0,1799.379,5985.0462,6.3819,2.6846,125.5885,0.5388,176.5027027027027,0.7572432432432432,6110.6346,6.9207,8587.918918918918,9.726372972972973
2026-07-24 08:51:13,FinanceBench,AMERICANWATERWORKS_2020_10K,data/FinanceBench/AMERICANWATERWORKS_2020_10K.pdf,final results\FinanceBench structure\AMERICANWATERWORKS_2020_10K_structure.json,data\FinanceBench\logs\AMERICANWATERWORKS_2020_10K_20260724_085113.json,success,152,143045,yes,yes,837799,354441,1192240,447,0,2773.428,,AMERICANWATERWORKS_2020_10K,117.0,149404.0,3451.0,4150.0,7601.0,5.0,0.0,57.412,841250.0,358591.0,1199841.0,452.0,0.0,2830.84,7843.6842,18.2462,2.9408,50.0066,0.3777,64.96581196581197,0.49070085470085467,7893.6908,18.6239,10255.051282051281,24.195213675213672
2026-07-24 09:38:23,FinanceBench,BESTBUY_2017_10K,data/FinanceBench/BESTBUY_2017_10K.pdf,final results\FinanceBench structure\BESTBUY_2017_10K_structure.json,data\FinanceBench\logs\BESTBUY_2017_10K_20260724_093823.json,success,109,132166,yes,yes,1322238,467930,1790168,578,0,2824.184,,BESTBUY_2017_10K,158.0,142474.0,7491.0,8260.0,15751.0,9.0,0.0,105.784,1329729.0,476190.0,1805919.0,587.0,0.0,2929.968,16423.5596,25.9099,5.3028,144.5046,0.9705,99.68987341772151,0.6695189873417722,16568.0642,26.8804,11429.867088607594,18.544101265822786
2026-07-24 11:33:19,FinanceBench,BESTBUY_2019_10K,data/FinanceBench/BESTBUY_2019_10K.pdf,final results\FinanceBench structure\BESTBUY_2019_10K_structure.json,data\FinanceBench\logs\BESTBUY_2019_10K_20260724_113319.json,success,107,133871,yes,yes,1309028,479489,1788517,596,0,2087.771,,BESTBUY_2019_10K,163.0,143236.0,6844.0,8527.0,15371.0,10.0,0.0,119.463,1315872.0,488016.0,1803888.0,606.0,0.0,2207.234,16715.1121,19.5119,5.5701,143.6542,1.1165,94.30061349693251,0.7329018404907975,16858.7664,20.6284,11066.79754601227,13.541312883435586
2026-07-24 12:10:45,FinanceBench,BESTBUY_2023_10K,data/FinanceBench/BESTBUY_2023_10K.pdf,final results\FinanceBench structure\BESTBUY_2023_10K_structure.json,data\FinanceBench\logs\BESTBUY_2023_10K_20260724_121045.json,success,75,65831,yes,yes,265028,100952,365980,134,0,605.897,,BESTBUY_2023_10K,29.0,67499.0,0.0,0.0,0.0,0.0,0.0,4.17,265028.0,100952.0,365980.0,134.0,0.0,610.067,4879.7333,8.0786,1.7867,0.0,0.0556,0.0,0.14379310344827587,4879.7333,8.1342,12620.0,21.036793103448275
2026-07-24 12:21:45,FinanceBench,BESTBUY_2024Q2_10Q,data/FinanceBench/BESTBUY_2024Q2_10Q.pdf,final results\FinanceBench structure\BESTBUY_2024Q2_10Q_structure.json,data\FinanceBench\logs\BESTBUY_2024Q2_10Q_20260724_122145.json,success,30,24945,yes,yes,150320,66306,216626,81,0,520.186,,BESTBUY_2024Q2_10Q,10.0,24864.0,0.0,0.0,0.0,0.0,0.0,2.387,150320.0,66306.0,216626.0,81.0,0.0,522.573,7220.8667,17.3395,2.7,0.0,0.0796,0.0,0.2387,7220.8667,17.4191,21662.6,52.2573
