dataset,n_queries,avg_input_tokens,total_input_tokens,avg_output_tokens,total_output_tokens,avg_total_tokens,total_total_tokens,avg_top1_input_tokens,total_top1_input_tokens,avg_top1_output_tokens,total_top1_output_tokens,avg_top1_total_tokens,total_top1_total_tokens,avg_top5_input_tokens,total_top5_input_tokens,avg_top5_output_tokens,total_top5_output_tokens,avg_top5_total_tokens,total_top5_total_tokens
ESRS,1000,104417.544,104417544,9408.04,9408040,113825.584,113825584,47156.481,47156481,4024.103,4024103,51180.584,51180584,103564.539,103564539,9350.769,9350769,112915.308,112915308
FinanceBench,111,159999.72972972973,17759970,9638.945945945947,1069923,169638.67567567568,18829893,62945.15315315315,6986912,3081.801801801802,342080,66026.95495495496,7328992,159999.72972972973,17759970,9638.945945945947,1069923,169638.67567567568,18829893
