dataset,toc_present,toc_page_index_given,num_documents,num_pages,num_chunks,raw_pdf_tokens,total_chunk_tokens,structure_input_tokens,structure_output_tokens,structure_total_tokens,structure_llm_successful_calls,structure_llm_failed_calls,structure_latency_seconds,chunk_input_tokens,chunk_output_tokens,chunk_total_tokens,chunk_llm_successful_calls,chunk_llm_failed_calls,chunk_latency_seconds,combined_input_tokens,combined_output_tokens,combined_total_tokens,combined_llm_successful_calls,combined_llm_failed_calls,combined_latency_seconds,structure_total_tokens_per_page,structure_latency_seconds_per_page,chunk_total_tokens_per_page,chunk_latency_seconds_per_page,combined_total_tokens_per_page,combined_latency_seconds_per_page,chunk_total_tokens_per_chunk,chunk_latency_seconds_per_chunk,combined_total_tokens_per_chunk,combined_latency_seconds_per_chunk,structure_total_tokens_per_page_weighted,structure_latency_seconds_per_page_weighted,chunk_total_tokens_per_page_weighted,chunk_latency_seconds_per_page_weighted,combined_total_tokens_per_page_weighted,combined_latency_seconds_per_page_weighted,chunk_total_tokens_per_chunk_weighted,chunk_latency_seconds_per_chunk_weighted,combined_total_tokens_per_chunk_weighted,combined_latency_seconds_per_chunk_weighted
ESRS,no,no,7,1059,1088,1067572,1062083,7181938,3067724,10249662,3836,0,6937.365,52183,40471,92654,41,0,713.788,7234121,3108195,10342316,3877,0,7651.153,11304.8902,7.871,92.1708,0.7126,11397.0609,8.5837,92.5035,0.6785,9428.2529,7.2751,9678.6232,6.5509,87.492,0.674,9766.1152,7.2249,85.1599,0.6561,9505.8051,7.0323
ESRS,yes,yes,16,2876,1880,2624568,2614633,17676876,6286874,23963750,7651,0,22900.925,405152,172848,578000,147,0,3009.657,18082028,6459722,24541750,7798,0,25910.582,8757.1197,8.8747,212.2695,1.1355,8969.3892,10.0102,407.5527,1.6445,14268.4215,16.9962,8332.3192,7.9628,200.9736,1.0465,8533.2928,9.0092,307.4468,1.6009,13054.1223,13.7822
