dataset,result_file,method,model,variant,top_m,toc,n_queries,accuracy_at_1,hit_at_5,mrr_at_5,document_accuracy_at_1,avg_latency_seconds,avg_top1_latency_seconds,avg_top5_latency_seconds,avg_input_tokens,avg_output_tokens,avg_total_tokens,avg_top1_input_tokens,avg_top1_output_tokens,avg_top1_total_tokens,avg_top5_input_tokens,avg_top5_output_tokens,avg_top5_total_tokens,successful_rows,accuracy_at_1_pct,hit_at_5_pct,mrr_at_5_pct,document_accuracy_at_1_pct
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,No TOC,384,0.3072916666666667,0.4270833333333333,0.3546006944444444,1.0,9.114583333333334e-05,9.114583333333334e-05,9.114583333333334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,30.729166666666668,42.70833333333333,35.46006944444444,100.0
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,5.0,Present,616,0.36363636363636365,0.49188311688311687,0.41252705627705627,0.9983766233766234,0.00016396103896103897,0.00016396103896103897,0.00016396103896103897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,36.36363636363637,49.188311688311686,41.25270562770563,99.83766233766234
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,7.0,No TOC,384,0.3229166666666667,0.4791666666666667,0.3841145833333333,1.0,0.00022135416666666668,0.00022135416666666668,0.00022135416666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,32.29166666666667,47.91666666666667,38.41145833333333,100.0
ESRS,hybrid_pageindex_chunk_rerank_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,chunk_rerank,7.0,Present,616,0.42857142857142855,0.5811688311688312,0.4863906926406927,0.9983766233766234,0.0001964285714285714,0.0001964285714285714,0.0001964285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,42.857142857142854,58.11688311688312,48.63906926406927,99.83766233766234
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,node,10.0,No TOC,384,0.17447916666666666,0.421875,0.26536458333333335,0.9661458333333334,6.510416666666667e-05,6.510416666666667e-05,6.510416666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,17.447916666666664,42.1875,26.536458333333336,96.61458333333334
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_10_query_results.jsonl,Hybrid PageIndex,Harrier,node,10.0,Present,616,0.2532467532467532,0.5,0.3449675324675325,0.9805194805194806,8.27922077922078e-05,8.27922077922078e-05,8.27922077922078e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,25.324675324675322,50.0,34.49675324675325,98.05194805194806
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,node,5.0,No TOC,384,0.1640625,0.3489583333333333,0.23372395833333334,0.9661458333333334,0.00015364583333333335,0.00015364583333333335,0.00015364583333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,16.40625,34.89583333333333,23.372395833333336,96.61458333333334
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_5_query_results.jsonl,Hybrid PageIndex,Harrier,node,5.0,Present,616,0.19805194805194806,0.3961038961038961,0.2715097402597403,0.9805194805194806,2.435064935064935e-05,2.435064935064935e-05,2.435064935064935e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,19.805194805194805,39.61038961038961,27.15097402597403,98.05194805194806
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,node,7.0,No TOC,384,0.171875,0.3984375,0.25490451388888885,0.9661458333333334,9.375000000000002e-05,9.375000000000002e-05,9.375000000000002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,17.1875,39.84375,25.490451388888886,96.61458333333334
ESRS,hybrid_pageindex_harrier_oss_v1_0_6b_top_m_7_query_results.jsonl,Hybrid PageIndex,Harrier,node,7.0,Present,616,0.22564935064935066,0.45292207792207795,0.30995670995671,0.9788961038961039,0.00015584415584415584,0.00015584415584415584,0.00015584415584415584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,22.564935064935064,45.2922077922078,30.995670995671,97.8896103896104
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,No TOC,384,0.24479166666666666,0.5130208333333334,0.3477864583333334,1.0,0.00018229166666666667,0.00018229166666666667,0.00018229166666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,24.479166666666664,51.302083333333336,34.778645833333336,100.0
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_10_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,10.0,Present,616,0.3538961038961039,0.6136363636363636,0.4497294372294372,0.9983766233766234,0.00018506493506493507,0.00018506493506493507,0.00018506493506493507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,35.38961038961039,61.36363636363637,44.97294372294372,99.83766233766234
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,5.0,No TOC,384,0.21614583333333334,0.4140625,0.2913194444444444,1.0,8.072916666666667e-05,8.072916666666667e-05,8.072916666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,21.614583333333336,41.40625,29.13194444444444,100.0
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_5_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,5.0,Present,616,0.2792207792207792,0.48214285714285715,0.3555194805194805,0.9983766233766234,6.980519480519482e-05,6.980519480519482e-05,6.980519480519482e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,27.92207792207792,48.214285714285715,35.55194805194805,99.83766233766234
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,7.0,No TOC,384,0.2265625,0.46875,0.31796874999999997,1.0,8.854166666666667e-05,8.854166666666667e-05,8.854166666666667e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,22.65625,46.875,31.796874999999996,100.0
ESRS,hybrid_pageindex_linq_embed_mistral_top_m_7_query_results.jsonl,Hybrid PageIndex,Linq-Embed-Mistral,node,7.0,Present,616,0.31655844155844154,0.5535714285714286,0.4040854978354978,0.9983766233766234,0.00013636363636363637,0.00013636363636363637,0.00013636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616,31.655844155844154,55.35714285714286,40.40854978354978,99.83766233766234
ESRS,pageindex_combined_query_results_clean.jsonl,PageIndex,GPT-5,standard,,No TOC,384,0.5364583333333334,0.7369791666666666,0.7204861111111112,0.9765625,150.49476822916668,71.23137866666667,149.32784375,100297.66927083333,9099.1875,109396.85677083333,48050.200520833336,4102.825520833333,52153.026041666664,99845.1328125,9021.390625,108866.5234375,384,53.645833333333336,73.69791666666666,72.04861111111111,97.65625
ESRS,pageindex_combined_query_results_clean.jsonl,PageIndex,GPT-5,standard,,Present,616,0.5633116883116883,0.7743506493506493,0.7507305194805195,0.9935064935064936,155.15129870129869,66.10918300653594,154.51883116883118,106985.7775974026,9600.57142857143,116586.34902597402,46599.357142857145,3975.029220779221,50574.38636363636,105883.12987012987,9556.09577922078,115439.22564935064,616,56.33116883116883,77.43506493506493,75.07305194805195,99.35064935064936
